call_id,account_id,account_name,call_date,call_type,duration_min,transcript_excerpt,attendees
CALL-0011,ACC-001,Meridian Media Group,2026-02-12T13:00:00,check-in,21,"Sarah Chen: Thanks for taking the time today, Derek. I noticed Canvas usage across your team has dropped quite a bit over the past month. Is everything okay?

Derek Huang (Account Manager): Yeah, honestly, things have been tough since Jennifer left. She was our power user — she built all our templates, trained the team, the whole nine yards. Without her, people just kind of stopped using Canvas.

Sarah Chen: I'm sorry to hear that. Jennifer was great to work with. Have you been able to assign someone to pick up her workflows?

Derek Huang: Not really. We've been slammed with client work. A few people on the team started using SketchFlow because they already knew it from previous jobs. It's kind of taken on a life of its own.

Sarah Chen: I see. That's concerning — I'd love to help you get back on track. Would it help if we ran a re-onboarding session for your team? We have new templates specifically for media companies that might help reduce the learning curve.

Derek Huang: Maybe. I'll be honest though — my VP is already asking questions about the renewal. She's seen the SketchFlow usage and is wondering why we're paying for both. I need to show her clear value before June.","Derek Huang (Account Manager), Sarah Chen"
CALL-0012,ACC-001,Meridian Media Group,2026-02-21T14:00:00,QBR,50,"Sarah Chen: Let's look at your Q1 usage metrics. I want to be transparent — active users dropped from 38 to 14 over the past eight weeks.

Laura Singh (VP Creative): Fourteen? That's worse than I thought. Sarah Chen, I'm going to be direct. We're paying $186K annually and only a third of our team is using the product. That math doesn't work.

Sarah Chen: I completely understand, Laura. Let me share some context on what we've been seeing and a recovery plan I've put together.

Laura Singh: Before you do — I should tell you that our design leads have been demoing SketchFlow Enterprise. The team likes it. The collaborative features are strong and the pricing is more straightforward. I haven't made a decision yet, but I need DigitalNativeCo to give me a reason to stay.

Sarah Chen: I appreciate the honesty. Let me walk you through three things: first, the new Canvas collaboration features we shipped last month that directly address what SketchFlow offers; second, a custom onboarding track for your team; and third, a flexible pricing conversation with our account executive. I don't want to lose your business and I think there's a path here.

Laura Singh: Okay, show me what you've got. But I need to see real movement in the next 30 days. Our budget review is in April.","Laura Singh (VP Creative), Derek Huang (Account Manager), Sarah Chen"
CALL-0013,ACC-002,Cascade Financial,2026-01-13T09:00:00,QBR,42,"Marcus Rivera: Let's go through your product adoption across the three tools. Flow is looking great — 72 active users out of 80 seats, strong daily engagement. Canvas and Insight are a different story though.

Michael Chen (Director of Operations): Yeah, Flow has been a home run for us. The approval workflows saved our compliance team 20 hours a week. But Canvas — I don't even know what to tell you. We tried rolling it out twice and both times the team bounced off it.

Marcus Rivera: What specifically is blocking adoption? Is it the onboarding, the feature set, or something else?

Michael Chen: Honestly, it's the onboarding. The tutorials assume you're a designer. We're a financial services company — our people make pitch decks and regulatory documents, not creative assets. The whole visual language of Canvas feels alien to them.

Marcus Rivera: That's really helpful feedback. We actually just launched an industry-specific onboarding track for financial services. Can I set up a pilot with a small group?

Michael Chen: You can try, but I need to be upfront — we're probably not going to renew Canvas and Insight. Those two products are costing us $180K combined and the usage doesn't justify it. Flow is staying no matter what, but the rest is on the chopping block.

Marcus Rivera: I understand. Let me pull together some usage data and a targeted adoption plan. If we can move the needle in 60 days, would that change the conversation?

Michael Chen: Possibly. But 60 days is all I can give you. Our procurement team starts renewal reviews in May.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0014,ACC-002,Cascade Financial,2026-01-10T10:15:00,check-in,27,"Marcus Rivera: Hi Michael, following up on the Canvas onboarding pilot. How did the first session go?

Michael Chen (Director of Operations): Five people attended out of the 15 I invited. The three who stayed for the full session said it was better than the original onboarding, but they still don't see why they'd switch from PowerPoint for their daily work.

Marcus Rivera: Did they get a chance to try the template library? We built those financial services templates specifically for pitch decks and compliance documents.

Michael Chen: They did. The templates were good but the editing experience is too different from what they know. I think this is a fundamental fit issue, not a training issue. I've told my VP we should consolidate to just Flow at renewal. I'm sorry — I know that's not what you want to hear.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0015,ACC-002,Cascade Financial,2026-02-10T09:15:00,QBR,39,"Marcus Rivera: Let's go through your product adoption across the three tools. Flow is looking great — 72 active users out of 80 seats, strong daily engagement. Canvas and Insight are a different story though.

Michael Chen (Director of Operations): Yeah, Flow has been a home run for us. The approval workflows saved our compliance team 20 hours a week. But Canvas — I don't even know what to tell you. We tried rolling it out twice and both times the team bounced off it.

Marcus Rivera: What specifically is blocking adoption? Is it the onboarding, the feature set, or something else?

Michael Chen: Honestly, it's the onboarding. The tutorials assume you're a designer. We're a financial services company — our people make pitch decks and regulatory documents, not creative assets. The whole visual language of Canvas feels alien to them.

Marcus Rivera: That's really helpful feedback. We actually just launched an industry-specific onboarding track for financial services. Can I set up a pilot with a small group?

Michael Chen: You can try, but I need to be upfront — we're probably not going to renew Canvas and Insight. Those two products are costing us $180K combined and the usage doesn't justify it. Flow is staying no matter what, but the rest is on the chopping block.

Marcus Rivera: I understand. Let me pull together some usage data and a targeted adoption plan. If we can move the needle in 60 days, would that change the conversation?

Michael Chen: Possibly. But 60 days is all I can give you. Our procurement team starts renewal reviews in May.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0016,ACC-002,Cascade Financial,2026-02-25T13:30:00,check-in,22,"Marcus Rivera: Hi Michael, following up on the Canvas onboarding pilot. How did the first session go?

Michael Chen (Director of Operations): Five people attended out of the 15 I invited. The three who stayed for the full session said it was better than the original onboarding, but they still don't see why they'd switch from PowerPoint for their daily work.

Marcus Rivera: Did they get a chance to try the template library? We built those financial services templates specifically for pitch decks and compliance documents.

Michael Chen: They did. The templates were good but the editing experience is too different from what they know. I think this is a fundamental fit issue, not a training issue. I've told my VP we should consolidate to just Flow at renewal. I'm sorry — I know that's not what you want to hear.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0017,ACC-002,Cascade Financial,2026-01-29T10:30:00,QBR,44,"Marcus Rivera: Let's go through your product adoption across the three tools. Flow is looking great — 72 active users out of 80 seats, strong daily engagement. Canvas and Insight are a different story though.

Michael Chen (Director of Operations): Yeah, Flow has been a home run for us. The approval workflows saved our compliance team 20 hours a week. But Canvas — I don't even know what to tell you. We tried rolling it out twice and both times the team bounced off it.

Marcus Rivera: What specifically is blocking adoption? Is it the onboarding, the feature set, or something else?

Michael Chen: Honestly, it's the onboarding. The tutorials assume you're a designer. We're a financial services company — our people make pitch decks and regulatory documents, not creative assets. The whole visual language of Canvas feels alien to them.

Marcus Rivera: That's really helpful feedback. We actually just launched an industry-specific onboarding track for financial services. Can I set up a pilot with a small group?

Michael Chen: You can try, but I need to be upfront — we're probably not going to renew Canvas and Insight. Those two products are costing us $180K combined and the usage doesn't justify it. Flow is staying no matter what, but the rest is on the chopping block.

Marcus Rivera: I understand. Let me pull together some usage data and a targeted adoption plan. If we can move the needle in 60 days, would that change the conversation?

Michael Chen: Possibly. But 60 days is all I can give you. Our procurement team starts renewal reviews in May.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0018,ACC-002,Cascade Financial,2025-12-27T15:00:00,check-in,27,"Marcus Rivera: Hi Michael, following up on the Canvas onboarding pilot. How did the first session go?

Michael Chen (Director of Operations): Five people attended out of the 15 I invited. The three who stayed for the full session said it was better than the original onboarding, but they still don't see why they'd switch from PowerPoint for their daily work.

Marcus Rivera: Did they get a chance to try the template library? We built those financial services templates specifically for pitch decks and compliance documents.

Michael Chen: They did. The templates were good but the editing experience is too different from what they know. I think this is a fundamental fit issue, not a training issue. I've told my VP we should consolidate to just Flow at renewal. I'm sorry — I know that's not what you want to hear.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0019,ACC-002,Cascade Financial,2026-02-28T15:00:00,QBR,42,"Marcus Rivera: Let's go through your product adoption across the three tools. Flow is looking great — 72 active users out of 80 seats, strong daily engagement. Canvas and Insight are a different story though.

Michael Chen (Director of Operations): Yeah, Flow has been a home run for us. The approval workflows saved our compliance team 20 hours a week. But Canvas — I don't even know what to tell you. We tried rolling it out twice and both times the team bounced off it.

Marcus Rivera: What specifically is blocking adoption? Is it the onboarding, the feature set, or something else?

Michael Chen: Honestly, it's the onboarding. The tutorials assume you're a designer. We're a financial services company — our people make pitch decks and regulatory documents, not creative assets. The whole visual language of Canvas feels alien to them.

Marcus Rivera: That's really helpful feedback. We actually just launched an industry-specific onboarding track for financial services. Can I set up a pilot with a small group?

Michael Chen: You can try, but I need to be upfront — we're probably not going to renew Canvas and Insight. Those two products are costing us $180K combined and the usage doesn't justify it. Flow is staying no matter what, but the rest is on the chopping block.

Marcus Rivera: I understand. Let me pull together some usage data and a targeted adoption plan. If we can move the needle in 60 days, would that change the conversation?

Michael Chen: Possibly. But 60 days is all I can give you. Our procurement team starts renewal reviews in May.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0020,ACC-002,Cascade Financial,2026-01-02T11:00:00,check-in,23,"Marcus Rivera: Hi Michael, following up on the Canvas onboarding pilot. How did the first session go?

Michael Chen (Director of Operations): Five people attended out of the 15 I invited. The three who stayed for the full session said it was better than the original onboarding, but they still don't see why they'd switch from PowerPoint for their daily work.

Marcus Rivera: Did they get a chance to try the template library? We built those financial services templates specifically for pitch decks and compliance documents.

Michael Chen: They did. The templates were good but the editing experience is too different from what they know. I think this is a fundamental fit issue, not a training issue. I've told my VP we should consolidate to just Flow at renewal. I'm sorry — I know that's not what you want to hear.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0021,ACC-002,Cascade Financial,2026-01-01T15:15:00,QBR,43,"Marcus Rivera: Let's go through your product adoption across the three tools. Flow is looking great — 72 active users out of 80 seats, strong daily engagement. Canvas and Insight are a different story though.

Michael Chen (Director of Operations): Yeah, Flow has been a home run for us. The approval workflows saved our compliance team 20 hours a week. But Canvas — I don't even know what to tell you. We tried rolling it out twice and both times the team bounced off it.

Marcus Rivera: What specifically is blocking adoption? Is it the onboarding, the feature set, or something else?

Michael Chen: Honestly, it's the onboarding. The tutorials assume you're a designer. We're a financial services company — our people make pitch decks and regulatory documents, not creative assets. The whole visual language of Canvas feels alien to them.

Marcus Rivera: That's really helpful feedback. We actually just launched an industry-specific onboarding track for financial services. Can I set up a pilot with a small group?

Michael Chen: You can try, but I need to be upfront — we're probably not going to renew Canvas and Insight. Those two products are costing us $180K combined and the usage doesn't justify it. Flow is staying no matter what, but the rest is on the chopping block.

Marcus Rivera: I understand. Let me pull together some usage data and a targeted adoption plan. If we can move the needle in 60 days, would that change the conversation?

Michael Chen: Possibly. But 60 days is all I can give you. Our procurement team starts renewal reviews in May.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0022,ACC-002,Cascade Financial,2026-03-07T16:30:00,check-in,20,"Marcus Rivera: Hi Michael, following up on the Canvas onboarding pilot. How did the first session go?

Michael Chen (Director of Operations): Five people attended out of the 15 I invited. The three who stayed for the full session said it was better than the original onboarding, but they still don't see why they'd switch from PowerPoint for their daily work.

Marcus Rivera: Did they get a chance to try the template library? We built those financial services templates specifically for pitch decks and compliance documents.

Michael Chen: They did. The templates were good but the editing experience is too different from what they know. I think this is a fundamental fit issue, not a training issue. I've told my VP we should consolidate to just Flow at renewal. I'm sorry — I know that's not what you want to hear.","Michael Chen (Director of Operations), Marcus Rivera"
CALL-0023,ACC-003,Beacon Logistics,2026-01-22T16:00:00,check-in,38,"Emily Thornton: Robert, I wanted to address the API issues your team has been experiencing. I know it's been a rough few weeks.

Robert Kimball (VP Engineering): Rough is an understatement. We've had three major outages in three weeks. Our dispatch dashboard went down during peak hours. Do you know what happens when a logistics company can't see its shipments? People start making phone calls. Hundreds of phone calls.

Emily Thornton: I completely understand the severity. I've escalated this to our engineering leadership and they've identified the root cause — it was a database connection pooling issue that was triggered by a recent scaling event.

Robert Kimball: That's great, but it doesn't help me with the 47 hours of downtime we've already eaten. Our SLA says 99.9% uptime. We're at about 97% this month. My CFO is going to ask for credits and honestly, I think we deserve them.

Emily Thornton: You absolutely deserve a conversation about that. I've already flagged it with our finance team. Can we schedule a call with our VP of Engineering to walk through the remediation plan and discuss the SLA credit?

Robert Kimball: Fine. But Emily Thornton, I need you to understand — if this happens again, we're going to start evaluating alternatives. We can't afford unreliable infrastructure in our line of work. Lives don't depend on it, but livelihoods do.","Robert Kimball (VP Engineering), Emily Thornton"
CALL-0024,ACC-003,Beacon Logistics,2026-01-06T13:15:00,check-in,17,"Emily Thornton: Robert, I have an update on the SLA remediation. Our engineering team has deployed three fixes: connection pool scaling, automated failover, and enhanced monitoring with PagerDuty integration. We've also provisioned dedicated infrastructure for your account.

Robert Kimball (VP Engineering): Dedicated infrastructure? That's a step in the right direction. What about the SLA credits?

Emily Thornton: I've gotten approval for a 15% credit on your next quarter's invoice, which comes to about $3,600. I know that doesn't fully cover the operational impact, but I wanted to show good faith while we finalize the full credit calculation.

Robert Kimball: I appreciate that. But 15% isn't going to satisfy my CFO when I show him the incident report. We calculated about $12K in operational costs from the outages — overtime for manual dispatching, customer complaints, and SLA penalties from our own clients.

Emily Thornton: Let me take that number back to my leadership. I want to make this right. In the meantime, can you confirm the new dedicated infrastructure is performing as expected?

Robert Kimball: It's been stable for four days. If it stays that way for a month, we can have a different conversation.","Robert Kimball (VP Engineering), Emily Thornton"
CALL-0025,ACC-003,Beacon Logistics,2026-01-01T09:00:00,check-in,30,"Emily Thornton: Robert, I wanted to introduce you to Kevin McBride, your new account executive. He took over from Jake Torres in January.

Robert Kimball (VP Engineering): Another change. Fine. Kevin, no offense, but Jake understood our infrastructure. He knew our architecture, our pain points, our SLA requirements. Are you up to speed on our API issues?

Kevin McBride (Account Executive): I've reviewed the incident reports and the SLA credit discussions. I know you've had three major outages and we owe you a resolution on the full credit calculation.

Robert Kimball: That's the minimum. Here's what I need from you: first, the final SLA credit number — not the 15% partial, the real number based on our $12K operational impact. Second, a written guarantee on uptime or a contractual clause that triggers automatic credits. Third, a technical architecture review with your engineering team so I can trust the platform again.

Kevin McBride: I'll work with our VP of Sales and finance team on the credit calculation. For the contractual clause, I'll need to loop in legal but I think we can make that work.

Robert Kimball: Kevin, I'll give you the same advice I gave Jake before he left — don't make promises you can't keep. Jake was great at the relationship side but our API kept going down anyway. I need results, not reassurance.

Emily Thornton: Robert, I'll make sure Kevin has all the context he needs. And I want to acknowledge — the combination of the API issues and the AE transition hasn't been ideal. You've been incredibly patient and I don't want that patience to run out.

Robert Kimball: It's running thin. Get me the credit number by Friday.","Robert Kimball (VP Engineering), Kevin McBride (Account Executive), Emily Thornton"
CALL-0026,ACC-003,Beacon Logistics,2025-12-29T09:30:00,check-in,35,"Emily Thornton: Robert, I wanted to address the API issues your team has been experiencing. I know it's been a rough few weeks.

Robert Kimball (VP Engineering): Rough is an understatement. We've had three major outages in three weeks. Our dispatch dashboard went down during peak hours. Do you know what happens when a logistics company can't see its shipments? People start making phone calls. Hundreds of phone calls.

Emily Thornton: I completely understand the severity. I've escalated this to our engineering leadership and they've identified the root cause — it was a database connection pooling issue that was triggered by a recent scaling event.

Robert Kimball: That's great, but it doesn't help me with the 47 hours of downtime we've already eaten. Our SLA says 99.9% uptime. We're at about 97% this month. My CFO is going to ask for credits and honestly, I think we deserve them.

Emily Thornton: You absolutely deserve a conversation about that. I've already flagged it with our finance team. Can we schedule a call with our VP of Engineering to walk through the remediation plan and discuss the SLA credit?

Robert Kimball: Fine. But Emily Thornton, I need you to understand — if this happens again, we're going to start evaluating alternatives. We can't afford unreliable infrastructure in our line of work. Lives don't depend on it, but livelihoods do.","Robert Kimball (VP Engineering), Emily Thornton"
CALL-0027,ACC-003,Beacon Logistics,2026-01-22T15:15:00,check-in,19,"Emily Thornton: Robert, I have an update on the SLA remediation. Our engineering team has deployed three fixes: connection pool scaling, automated failover, and enhanced monitoring with PagerDuty integration. We've also provisioned dedicated infrastructure for your account.

Robert Kimball (VP Engineering): Dedicated infrastructure? That's a step in the right direction. What about the SLA credits?

Emily Thornton: I've gotten approval for a 15% credit on your next quarter's invoice, which comes to about $3,600. I know that doesn't fully cover the operational impact, but I wanted to show good faith while we finalize the full credit calculation.

Robert Kimball: I appreciate that. But 15% isn't going to satisfy my CFO when I show him the incident report. We calculated about $12K in operational costs from the outages — overtime for manual dispatching, customer complaints, and SLA penalties from our own clients.

Emily Thornton: Let me take that number back to my leadership. I want to make this right. In the meantime, can you confirm the new dedicated infrastructure is performing as expected?

Robert Kimball: It's been stable for four days. If it stays that way for a month, we can have a different conversation.","Robert Kimball (VP Engineering), Emily Thornton"
