ticket_id,account_id,account_name,product,ticket_text,priority,status,created_at
TKT-0041,ACC-001,Meridian Media Group,Canvas,"Honestly, I'm frustrated. We've filed three tickets this month and the responses have been slow and unhelpful. Our contract is up in June and leadership is already questioning whether to renew.",P2,open,2026-02-15T13:25:00
TKT-0042,ACC-001,Meridian Media Group,Canvas,We've been trying to reach our account executive Jake Torres for three weeks about renewal pricing. His emails are bouncing and he's not responding on Slack. Is he still with the company? We need to discuss pricing options before our budget review.,P2,resolved,2026-01-07T12:30:00
TKT-0043,ACC-001,Meridian Media Group,Canvas,URGENT: Our VP of Marketing David Leung has requested a full asset export from Canvas. He wants to evaluate migration costs to SketchFlow. We need the bulk export API documentation and estimated data transfer timelines. We are a $186K account and haven't had a working AE relationship in weeks.,P1,open,2026-03-08T15:57:00
TKT-0044,ACC-001,Meridian Media Group,Flow,We tested our approval workflow in both Canvas and SketchFlow last week. What takes 45 minutes in Canvas took 5 minutes in SketchFlow. The performance gap is becoming impossible to justify internally. Our SketchFlow pilot cost us $2K — our Canvas contract is $186K. The ROI math is not in your favor.,P2,open,2026-01-29T11:06:00
TKT-0045,ACC-001,Meridian Media Group,Canvas,Our design team is really struggling with the new Canvas interface. The toolbar layout changed and nobody can find the asset library anymore. We've lost at least two days of productivity this week. Can someone walk us through this?,P2,escalated,2026-02-21T12:10:00
TKT-0046,ACC-001,Meridian Media Group,Canvas,This is the third time this month Canvas has frozen mid-export. We had a client deadline today and had to recreate everything in SketchFlow. This is unacceptable for what we're paying.,P1,resolved,2026-03-12T15:20:00
TKT-0047,ACC-001,Meridian Media Group,Canvas,We need to export our entire asset library out of Canvas ASAP. Our creative director wants everything in a portable format. Can you provide a bulk export tool or API endpoint?,P2,open,2026-03-14T14:09:00
TKT-0048,ACC-001,Meridian Media Group,Flow,Our team lead Jennifer left last month and she was the only one who understood how our Flow automations were set up. Nobody knows how to modify the approval chains. Is there documentation for inheriting admin workflows?,P2,escalated,2026-01-11T15:52:00
TKT-0049,ACC-001,Meridian Media Group,Canvas,Canvas performance has degraded badly. Pages with more than 20 layers take 10+ seconds to render. We're a media company — we work with complex layouts daily. Several team members are asking if we can switch to SketchFlow.,P1,resolved,2026-02-19T15:27:00
TKT-0050,ACC-001,Meridian Media Group,Canvas,Is there a way to migrate our Canvas templates to another platform? Asking for planning purposes. We need to understand what our options are before our next internal review.,P3,open,2026-01-30T12:05:00
TKT-0051,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,open,2026-02-25T16:13:00
TKT-0052,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,escalated,2026-02-17T12:31:00
TKT-0053,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,open,2026-02-11T14:37:00
TKT-0054,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,open,2026-03-09T07:51:00
TKT-0055,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,open,2026-02-28T09:48:00
TKT-0056,ACC-002,Cascade Financial,Flow,Flow works fine for our team but we're only using maybe 30% of what we're paying for. Is there a way to downgrade our plan to match our actual usage?,P3,resolved,2026-03-08T15:03:00
TKT-0057,ACC-002,Cascade Financial,Canvas,Multiple users are locked out of Canvas after the last SSO update. Our IT team says the SAML configuration changed on your end without notice. This is affecting our entire New York office.,P1,resolved,2026-02-03T17:25:00
TKT-0058,ACC-002,Cascade Financial,Insight,We need to understand our actual ROI on Insight. Can you pull usage stats for our account? Our CFO is reviewing all SaaS spend and tools with low adoption are first on the chopping block.,P2,escalated,2026-03-14T10:56:00
TKT-0059,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,escalated,2026-02-25T19:33:00
TKT-0060,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,open,2026-02-27T07:34:00
TKT-0061,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,open,2026-02-14T10:53:00
TKT-0062,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,resolved,2026-02-23T12:48:00
TKT-0063,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,escalated,2026-02-27T16:03:00
TKT-0064,ACC-002,Cascade Financial,Flow,Flow works fine for our team but we're only using maybe 30% of what we're paying for. Is there a way to downgrade our plan to match our actual usage?,P3,resolved,2026-03-06T14:43:00
TKT-0065,ACC-002,Cascade Financial,Canvas,Multiple users are locked out of Canvas after the last SSO update. Our IT team says the SAML configuration changed on your end without notice. This is affecting our entire New York office.,P1,open,2026-02-15T07:36:00
TKT-0066,ACC-002,Cascade Financial,Insight,We need to understand our actual ROI on Insight. Can you pull usage stats for our account? Our CFO is reviewing all SaaS spend and tools with low adoption are first on the chopping block.,P2,resolved,2026-03-14T15:34:00
TKT-0067,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,escalated,2026-03-09T19:07:00
TKT-0068,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,open,2026-02-03T10:08:00
TKT-0069,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,escalated,2026-02-16T11:05:00
TKT-0070,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,escalated,2026-02-19T19:53:00
TKT-0071,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,open,2026-02-11T16:29:00
TKT-0072,ACC-002,Cascade Financial,Flow,Flow works fine for our team but we're only using maybe 30% of what we're paying for. Is there a way to downgrade our plan to match our actual usage?,P3,resolved,2026-02-13T11:28:00
TKT-0073,ACC-002,Cascade Financial,Canvas,Multiple users are locked out of Canvas after the last SSO update. Our IT team says the SAML configuration changed on your end without notice. This is affecting our entire New York office.,P1,escalated,2026-01-12T14:36:00
TKT-0074,ACC-002,Cascade Financial,Insight,We need to understand our actual ROI on Insight. Can you pull usage stats for our account? Our CFO is reviewing all SaaS spend and tools with low adoption are first on the chopping block.,P2,escalated,2026-03-11T19:37:00
TKT-0075,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,escalated,2026-02-05T20:55:00
TKT-0076,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,resolved,2026-02-22T10:42:00
TKT-0077,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,escalated,2026-02-26T16:29:00
TKT-0078,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,resolved,2026-02-04T09:06:00
TKT-0079,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,resolved,2026-01-29T14:27:00
TKT-0080,ACC-002,Cascade Financial,Flow,Flow works fine for our team but we're only using maybe 30% of what we're paying for. Is there a way to downgrade our plan to match our actual usage?,P3,escalated,2026-03-13T18:08:00
TKT-0081,ACC-002,Cascade Financial,Canvas,Multiple users are locked out of Canvas after the last SSO update. Our IT team says the SAML configuration changed on your end without notice. This is affecting our entire New York office.,P1,open,2026-01-29T13:38:00
TKT-0082,ACC-002,Cascade Financial,Insight,We need to understand our actual ROI on Insight. Can you pull usage stats for our account? Our CFO is reviewing all SaaS spend and tools with low adoption are first on the chopping block.,P2,escalated,2026-03-12T06:53:00
TKT-0083,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,open,2026-03-11T14:10:00
TKT-0084,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,resolved,2026-03-02T10:51:00
TKT-0085,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,resolved,2026-03-09T16:05:00
TKT-0086,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,open,2026-03-03T17:59:00
TKT-0087,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,open,2026-02-13T10:36:00
TKT-0088,ACC-002,Cascade Financial,Flow,Flow works fine for our team but we're only using maybe 30% of what we're paying for. Is there a way to downgrade our plan to match our actual usage?,P3,escalated,2026-01-28T16:13:00
TKT-0089,ACC-002,Cascade Financial,Canvas,Multiple users are locked out of Canvas after the last SSO update. Our IT team says the SAML configuration changed on your end without notice. This is affecting our entire New York office.,P1,open,2025-12-20T08:29:00
TKT-0090,ACC-002,Cascade Financial,Insight,We need to understand our actual ROI on Insight. Can you pull usage stats for our account? Our CFO is reviewing all SaaS spend and tools with low adoption are first on the chopping block.,P2,open,2026-02-15T17:50:00
TKT-0091,ACC-002,Cascade Financial,Canvas,We purchased Canvas six months ago but adoption is still near zero. The onboarding materials don't match our version and the team found it confusing. Can we get a dedicated training session?,P2,resolved,2026-03-03T18:56:00
TKT-0092,ACC-002,Cascade Financial,Canvas,Our team has tried Canvas three times now and keeps going back to their old tools. The learning curve is too steep for what we need. Is there a simplified mode or a quick-start guide for financial services use cases?,P3,escalated,2025-12-22T13:06:00
TKT-0093,ACC-002,Cascade Financial,Insight,Insight dashboards are not loading for half our team. We get a spinner that never resolves. This has been happening intermittently for weeks. We're paying for a product nobody can use.,P2,resolved,2026-03-09T14:17:00
TKT-0094,ACC-002,Cascade Financial,Insight,"The Insight data connectors don't support our core data warehouse (Teradata). Without this, the product is essentially useless to us. Are there plans to add Teradata support?",P3,escalated,2026-01-31T14:31:00
TKT-0095,ACC-002,Cascade Financial,Canvas,"We were told Canvas would integrate with our compliance review system during the sales process. Six months in, this integration doesn't exist. Our legal team is asking why we're paying for shelfware.",P2,open,2026-02-14T12:07:00
TKT-0096,ACC-003,Beacon Logistics,Insight,URGENT: The Insight API has been returning 500 errors for the past 4 hours. Our logistics dashboard is completely down. This feeds real-time data to our dispatch team. Hundreds of shipments are affected.,P1,open,2026-03-11T15:17:00
TKT-0097,ACC-003,Beacon Logistics,Insight,The API outage from yesterday is happening again. We were told it was resolved but we're seeing the same 500 errors. Our ops team is furious. We need a root cause analysis immediately.,P1,escalated,2026-03-09T19:57:00
TKT-0098,ACC-003,Beacon Logistics,Canvas,API calls to Canvas are timing out consistently since last Tuesday. Our automated report generation pipeline depends on this. We're manually generating reports for 30+ clients right now.,P1,open,2026-03-05T17:02:00
TKT-0099,ACC-003,Beacon Logistics,Insight,Third major API outage in three weeks. We signed up for 99.9% uptime SLA and we're nowhere close. Our VP of Operations wants to discuss SLA credits and is cc'ing our legal team.,P1,escalated,2026-03-06T18:27:00
TKT-0100,ACC-003,Beacon Logistics,Insight,I was told Jake Torres was our account executive but apparently he left the company? We now have Kevin McBride who seems very junior and doesn't know our architecture. The API outages cost us approximately $12K in operational overhead and we still haven't received the SLA credit calculation. Who is actually owning this account?,P1,escalated,2026-03-10T20:48:00
TKT-0101,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,resolved,2026-02-09T14:38:00
TKT-0102,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,resolved,2026-01-01T10:39:00
TKT-0103,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,open,2026-01-11T15:13:00
TKT-0104,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,escalated,2026-02-03T20:04:00
TKT-0105,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,resolved,2026-02-25T09:08:00
TKT-0106,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,escalated,2026-01-15T18:34:00
TKT-0107,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,resolved,2026-02-03T07:40:00
TKT-0108,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,escalated,2026-03-07T18:18:00
TKT-0109,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,resolved,2026-01-08T19:25:00
TKT-0110,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,open,2026-02-20T06:43:00
TKT-0111,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,resolved,2026-02-12T07:35:00
TKT-0112,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,open,2026-02-22T06:29:00
TKT-0113,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,open,2025-12-29T17:09:00
TKT-0114,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,resolved,2026-01-27T10:20:00
TKT-0115,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,resolved,2026-02-02T09:44:00
TKT-0116,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,resolved,2026-02-03T09:45:00
TKT-0117,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,open,2026-01-10T20:39:00
TKT-0118,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,open,2026-01-01T20:11:00
TKT-0119,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,open,2026-01-20T18:11:00
TKT-0120,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,escalated,2026-02-15T15:47:00
TKT-0121,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,escalated,2026-02-23T19:11:00
TKT-0122,ACC-003,Beacon Logistics,Canvas,"After the recent API issues, our engineering team doesn't trust the platform stability. They're building redundancy around your APIs which is costing us engineering time. Can we get on a call about your infrastructure roadmap?",P2,resolved,2026-03-07T14:28:00
TKT-0123,ACC-003,Beacon Logistics,Insight,Escalation request: Our VP of Operations wants to speak with your VP of Sales about the ongoing API reliability issues AND the account management transition. We've had 3 major outages and 2 AE changes in 3 months. This is not enterprise-grade service for a company paying $97K annually.,P2,open,2026-01-11T13:46:00
TKT-0124,ACC-003,Beacon Logistics,Insight,"Following up on the API reliability issues. We've calculated approximately 47 hours of cumulative downtime this month. Per our contract, we believe we're owed significant SLA credits. Please escalate.",P2,resolved,2026-01-06T09:12:00
