invoice_id,account_id,account_name,invoice_date,quarter,gross_amount,discount_pct,net_amount,payment_status,days_to_pay
INV-0030,ACC-008,Ironclad Manufacturing,2025-10-01,Q4 2025,27500.0,10,24750.0,paid,10
INV-0031,ACC-008,Ironclad Manufacturing,2026-01-01,Q1 2026,27500.0,10,24750.0,paid,18
INV-0032,ACC-008,Ironclad Manufacturing,2026-03-15,Q2 2026,27500.0,10,24750.0,paid,17
INV-0033,ACC-009,Northstar Consulting,2025-07-01,Q3 2025,41250.0,0,41250.0,paid,14
INV-0034,ACC-009,Northstar Consulting,2025-10-01,Q4 2025,41250.0,0,41250.0,paid,13
INV-0035,ACC-009,Northstar Consulting,2026-01-01,Q1 2026,41250.0,0,41250.0,paid,27
INV-0036,ACC-009,Northstar Consulting,2026-03-15,Q2 2026,41250.0,0,41250.0,paid,12
INV-0037,ACC-010,Ridgeline Media,2025-07-01,Q3 2025,34500.0,10,31050.0,paid,23
INV-0038,ACC-010,Ridgeline Media,2025-10-01,Q4 2025,34500.0,10,31050.0,paid,11
INV-0039,ACC-010,Ridgeline Media,2026-01-01,Q1 2026,34500.0,10,31050.0,paid,10
INV-0040,ACC-010,Ridgeline Media,2026-03-15,Q2 2026,34500.0,10,31050.0,paid,12
INV-0041,ACC-011,Clearwater Tech,2025-07-01,Q3 2025,68750.0,0,68750.0,paid,17
INV-0042,ACC-011,Clearwater Tech,2025-10-01,Q4 2025,68750.0,0,68750.0,paid,26
INV-0043,ACC-011,Clearwater Tech,2026-01-01,Q1 2026,68750.0,0,68750.0,paid,29
INV-0044,ACC-011,Clearwater Tech,2026-03-15,Q2 2026,68750.0,0,68750.0,paid,10
INV-0045,ACC-012,Horizon Pharma,2025-07-01,Q3 2025,49500.0,10,44550.0,paid,16
INV-0046,ACC-012,Horizon Pharma,2025-10-01,Q4 2025,49500.0,10,44550.0,paid,30
INV-0047,ACC-012,Horizon Pharma,2026-01-01,Q1 2026,49500.0,10,44550.0,paid,27
INV-0048,ACC-012,Horizon Pharma,2026-03-15,Q2 2026,49500.0,10,44550.0,paid,23
INV-0049,ACC-013,Sterling Partners,2025-07-01,Q3 2025,15500.0,0,15500.0,paid,24
INV-0050,ACC-013,Sterling Partners,2025-10-01,Q4 2025,15500.0,0,15500.0,paid,28
INV-0051,ACC-013,Sterling Partners,2026-01-01,Q1 2026,15500.0,0,15500.0,paid,18
INV-0052,ACC-013,Sterling Partners,2026-03-15,Q2 2026,15500.0,0,15500.0,paid,10
INV-0053,ACC-014,Apex Marketing,2025-07-01,Q3 2025,31000.0,0,31000.0,paid,23
INV-0054,ACC-014,Apex Marketing,2025-10-01,Q4 2025,31000.0,0,31000.0,paid,20
INV-0055,ACC-014,Apex Marketing,2026-01-01,Q1 2026,31000.0,0,31000.0,paid,18
INV-0056,ACC-014,Apex Marketing,2026-03-15,Q2 2026,31000.0,0,31000.0,paid,14
INV-0057,ACC-015,Cobalt Aerospace,2025-07-01,Q3 2025,52500.0,0,52500.0,paid,20
INV-0058,ACC-015,Cobalt Aerospace,2025-10-01,Q4 2025,52500.0,0,52500.0,paid,13
INV-0059,ACC-015,Cobalt Aerospace,2026-01-01,Q1 2026,52500.0,0,52500.0,paid,12
INV-0060,ACC-015,Cobalt Aerospace,2026-03-15,Q2 2026,52500.0,0,52500.0,paid,22
INV-0061,ACC-016,Driftwood Media,2025-07-01,Q3 2025,22000.0,0,22000.0,paid,21
INV-0062,ACC-016,Driftwood Media,2025-10-01,Q4 2025,22000.0,0,22000.0,paid,21
INV-0063,ACC-016,Driftwood Media,2026-01-01,Q1 2026,22000.0,0,22000.0,paid,29
INV-0064,ACC-016,Driftwood Media,2026-03-15,Q2 2026,22000.0,0,22000.0,paid,18
INV-0065,ACC-017,Evergreen Education,2025-07-01,Q3 2025,18250.0,35,11862.5,paid,20
INV-0066,ACC-017,Evergreen Education,2025-10-01,Q4 2025,18250.0,35,11862.5,paid,28
INV-0067,ACC-017,Evergreen Education,2026-01-01,Q1 2026,18250.0,35,11862.5,paid,35
INV-0068,ACC-017,Evergreen Education,2026-03-15,Q2 2026,18250.0,35,11862.5,paid,42
INV-0069,ACC-018,Flux Dynamics,2025-07-01,Q3 2025,39000.0,0,39000.0,paid,24
INV-0070,ACC-018,Flux Dynamics,2025-10-01,Q4 2025,39000.0,0,39000.0,paid,27
INV-0071,ACC-018,Flux Dynamics,2026-01-01,Q1 2026,39000.0,0,39000.0,paid,13
INV-0072,ACC-018,Flux Dynamics,2026-03-15,Q2 2026,39000.0,0,39000.0,paid,22
INV-0073,ACC-019,Pinnacle Sports,2025-07-01,Q3 2025,23000.0,0,23000.0,paid,27
INV-0074,ACC-019,Pinnacle Sports,2025-10-01,Q4 2025,23000.0,0,23000.0,paid,19
INV-0075,ACC-019,Pinnacle Sports,2026-01-01,Q1 2026,23000.0,0,23000.0,paid,30
INV-0076,ACC-019,Pinnacle Sports,2026-03-15,Q2 2026,23000.0,0,23000.0,paid,29
INV-0077,ACC-020,Crestline Analytics,2025-07-01,Q3 2025,43000.0,5,40850.0,paid,28
INV-0078,ACC-020,Crestline Analytics,2025-10-01,Q4 2025,43000.0,5,40850.0,paid,16
INV-0079,ACC-020,Crestline Analytics,2026-01-01,Q1 2026,43000.0,5,40850.0,paid,12
INV-0080,ACC-020,Crestline Analytics,2026-03-15,Q2 2026,43000.0,5,40850.0,paid,11
